"Player","Team","MP","GS","Goals","Shots","Shots.per.90","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","xG","Shot.Pressed","Pct.Shots.Pressed","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","Key.Assists","Second.Assists","Assists.per.90","Key.Passes.per.90","Big.Chances","Big.Chances.per.90","BC.Scored","BC.Conversion.Pct","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","opPPass.Comp","opPPass.Att","opPPass.Comp.Pct","Pct.opPass.Pressed","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","rFreq.A3.Passes","rFreq.M3.Passes","rFreq.D3.Passes","A3Pass.Comp","A3Pass.Att","A3Pass.Comp.Pct","M3Pass.Comp","M3Pass.Att","M3Pass.Comp.Pct","D3Pass.Comp","D3Pass.Att","D3Pass.Comp.Pct","rFreq.A3.opPasses","rFreq.M3.opPasses","rFreq.D3.opPasses","A3opPass.Comp","A3opPass.Att","A3opPass.Comp.Pct","M3opPass.Comp","M3opPass.Att","M3opPass.Comp.Pct","D3opPass.Comp","D3opPass.Att","D3opPass.Comp.Pct","Pass.Comp.D3toD3","Pass.Comp.D3toM3","Pass.Comp.D3toA3","Pass.Comp.M3toD3","Pass.Comp.M3toM3","Pass.Comp.M3toA3","Pass.Comp.A3toD3","Pass.Comp.A3toM3","Pass.Comp.A3toA3","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","Pct.Passes.Pressed","PPass.Comp","PPass.Att","PPass.Comp.Pct","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","Cross.Comp","Cross.Att","Cross.Att.per.90","Cross.Att.per.opPass","Cross.Comp.Pct","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Att","Launch.Att.per.90","Launch.Att.per.Pass","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Att.per.90","Through.Att.per.Pass","Through.Att.per.opPass","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Att.per.90","Throw.In.Att.per.Pass","Throw.In.Comp.Pct","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","Take.Ons","TO.Won","TO.Lost","TO.Win.Pct","Dispossessed","Lost.Touches","All.Possessions.Disrupted","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Tackles","Dispossesses","Dribbled","Press.Opp","Challenge.Opp","Recoveries","Def.Recoveries","Poss.Recoveries","Interceptions","Int.per.90","Int.per.OP.Pass","Blocks","Clearances","Ball.Shields","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls.Faced","HB.Won","HB.Lost","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses.Faced","Crosses.Won","Crosses.Lost","Corner.Kicks.Faced","CKs.Won","CKs.Lost","Free.Kicks.Faced","FKs.Won","FKs.Lost","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Andrade","WNYF",12,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,1,2,0.5,1,2,0.5,1,2,0.5,1,0.5,0,0.5,0,1,0,0,0,NA,1,1,1,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,1,0,0,0,NA,1,1,1,1,1,2,0.5,0.5,0,0.5,0,1,0,0,0,NA,1,1,1,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,2,1,3,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"Andressa","HOU",95,1,0,4,3.78947368421053,0.25,1,0,3,0,2,0.5,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,42,62,0.67741935483871,39,53,0.735849056603774,18,24,0.75,0.452830188679245,0.516129032258065,0.258064516129032,0.225806451612903,20,32,0.625,9,16,0.5625,13,14,0.928571428571429,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0.547169811320755,0.188679245283019,0.264150943396226,20,29,0.689655172413793,6,10,0.6,13,14,0.928571428571429,0.387096774193548,18,24,0.75,0.625,0.166666666666667,0.208333333333333,11,15,0.733333333333333,2,4,0.5,5,5,1,0,3,2.84210526315789,0.0566037735849057,0,3,0,1,2,1.89473684210526,0.032258064516129,0.5,0,2,1.89473684210526,0.032258064516129,0.0377358490566038,0,0,0,0,0,NA,2,5,0.4,0,0,1,4,0.25,0,0,1,0,5,7,7,0,1,1,1,2,4,1,3,0.25,3,1,0,18,4,15,12,3,1,0.947368421052632,0,1,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"Ayinde","WNYF",45,1,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,6,10,0.6,6,10,0.6,4,6,0.666666666666667,0.6,0.5,0.2,0.3,2,5,0.4,2,2,1,2,3,0.666666666666667,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0.5,0.2,0.3,2,5,0.4,2,2,1,2,3,0.666666666666667,0.6,4,6,0.666666666666667,0.5,0.333333333333333,0.166666666666667,1,3,0.333333333333333,2,2,1,1,1,1,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,4,4,0,0,0,NA,0,0,2,18,4,3,2,1,0,0,0,3,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"Beckie","HOU",31,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,8,14,0.571428571428571,7,13,0.538461538461538,5,6,0.833333333333333,0.461538461538462,0.428571428571429,0.285714285714286,0.285714285714286,4,6,0.666666666666667,1,4,0.25,3,4,0.75,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0.461538461538462,0.307692307692308,0.230769230769231,4,6,0.666666666666667,1,4,0.25,2,3,0.666666666666667,0.428571428571429,5,6,0.833333333333333,0.666666666666667,0,0.333333333333333,3,4,0.75,0,0,NA,2,2,1,0,1,2.90322580645161,0.0769230769230769,0,1,0,0,0,0,0,NA,0,0,0,0,0,NA,1,1,2.90322580645161,0.0714285714285714,1,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,1,1,2,1,1,0.5,0,0,1,8,0,1,1,0,0,0,0,1,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"Brush","HOU",95,1,0,1,0.947368421052632,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,55,63,0.873015873015873,53,61,0.868852459016393,10,12,0.833333333333333,0.19672131147541,0.571428571428571,0.26984126984127,0.158730158730159,29,36,0.805555555555556,16,17,0.941176470588235,10,10,1,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0.590163934426229,0.262295081967213,0.147540983606557,29,36,0.805555555555556,15,16,0.9375,9,9,1,0.19047619047619,10,12,0.833333333333333,0.666666666666667,0.166666666666667,0.166666666666667,7,8,0.875,1,2,0.5,2,2,1,0,0,0,0,NA,0,0,1,4,3.78947368421053,0.0634920634920635,0.25,0,0,0,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,2,2,1,0,0,0,0,2,1,1,0,1,0,0,0,5,3,2,0.6,2,1,0,11,3,9,8,1,3,2.84210526315789,0,2,5,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"Brynjarsdottir","PTFC",99,1,1,1,0.909090909090909,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.909090909090909,1,0.909090909090909,1,1,0,0,0,0,0,21,29,0.724137931034483,20,28,0.714285714285714,11,14,0.785714285714286,0.5,0.517241379310345,0.275862068965517,0.206896551724138,8,15,0.533333333333333,7,8,0.875,6,6,1,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0.5,0.285714285714286,0.214285714285714,7,14,0.5,7,8,0.875,6,6,1,0.482758620689655,11,14,0.785714285714286,0.428571428571429,0.357142857142857,0.214285714285714,3,6,0.5,5,5,1,3,3,1,1,1,0.909090909090909,0.0357142857142857,1,1,0,0,0,0,0,NA,0,0,0,0,0,NA,1,1,0.909090909090909,0.0344827586206897,1,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,2,0,2,16,8,8,0.5,3,3,2,30,5,8,3,5,0,0,0,5,2,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"C. Williams","WAS",77,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,12,20,0.6,12,20,0.6,9,14,0.642857142857143,0.7,0.5,0.1,0.4,3,10,0.3,2,2,1,7,8,0.875,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0.5,0.1,0.4,3,10,0.3,2,2,1,7,8,0.875,0.7,9,14,0.642857142857143,0.5,0.142857142857143,0.357142857142857,3,7,0.428571428571429,2,2,1,4,5,0.8,0,0,0,0,NA,0,0,0,0,0,0,NA,0,3,3.50649350649351,0.15,0.15,0,0,0,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,0,3,3,0,1,3,1,4,11,4,7,0.363636363636364,3,0,0,18,0,6,5,1,2,2.33766233766234,0,1,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"Chapman","HOU",95,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,45,54,0.833333333333333,36,45,0.8,8,10,0.8,0.222222222222222,0.407407407407407,0.222222222222222,0.37037037037037,17,22,0.772727272727273,9,12,0.75,19,20,0.95,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0.422222222222222,0.222222222222222,0.355555555555556,14,19,0.736842105263158,7,10,0.7,15,16,0.9375,0.185185185185185,8,10,0.8,0.6,0.2,0.2,6,6,1,1,2,0.5,1,2,0.5,0,3,2.84210526315789,0.0666666666666667,0,3,0,0,1,0.947368421052632,0.0185185185185185,0,1,1,0.947368421052632,0.0185185185185185,0.0222222222222222,1,8,8,7.57894736842105,0.148148148148148,1,0,0,NA,0,0,1,1,1,0,0,0,0,1,0,0,0,NA,0,4,4,2,0,2,0,0,1,0,10,3,6,4,2,2,1.89473684210526,0,3,2,1,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"Church","WAS",11,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,2,2,1,2,2,1,2,2,1,1,1,0,0,2,2,1,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,2,2,1,0,0,NA,0,0,NA,1,2,2,1,1,0,0,2,2,1,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,1,1,0,0,0,NA,0,0,0,3,0,1,1,0,0,0,0,1,2,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"Conheeney","SBFC",38,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,12,18,0.666666666666667,12,18,0.666666666666667,8,11,0.727272727272727,0.611111111111111,0.611111111111111,0.111111111111111,0.277777777777778,5,11,0.454545454545455,2,2,1,5,5,1,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0.611111111111111,0.111111111111111,0.277777777777778,5,11,0.454545454545455,2,2,1,5,5,1,0.611111111111111,8,11,0.727272727272727,0.636363636363636,0.181818181818182,0.181818181818182,4,7,0.571428571428571,2,2,1,2,2,1,0,0,0,0,NA,0,0,0,2,4.73684210526316,0.111111111111111,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,0,1,0,1,0,2,4,7,4,2,2,0.5,0,1,1,8,4,6,4,2,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"D'Angelo","WNYF",94,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,22,31,0.709677419354839,19,28,0.678571428571429,2,5,0.4,0.178571428571429,0.935483870967742,0.0645161290322581,0,20,29,0.689655172413793,2,2,1,0,0,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0.928571428571429,0.0714285714285714,0,17,26,0.653846153846154,2,2,1,0,0,NA,0.161290322580645,2,5,0.4,1,0,0,2,5,0.4,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,3,2.87234042553191,0.0967741935483871,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,1,1,1,0,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,4,0.75,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,31,0.709677419354839,2,2,1,0,0,NA,6,6,1
"Dahlkemper","WNYF",94,1,0,1,0.957446808510638,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,39,51,0.764705882352941,35,43,0.813953488372093,11,14,0.785714285714286,0.325581395348837,0.509803921568627,0.294117647058824,0.196078431372549,17,26,0.653846153846154,12,15,0.8,10,10,1,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0.581395348837209,0.186046511627907,0.232558139534884,17,25,0.68,8,8,1,10,10,1,0.274509803921569,11,14,0.785714285714286,0.642857142857143,0.0714285714285714,0.285714285714286,6,9,0.666666666666667,1,1,1,4,4,1,2,4,3.82978723404255,0.0930232558139535,0.5,4,0,1,3,2.87234042553191,0.0588235294117647,0.333333333333333,0,0,0,0,0,NA,0,0,0,0,NA,4,7,0.571428571428571,0,0,0,1,0,0,0,1,0,2,0,0,0,NA,0,0,0,1,1,0,1,1,0,1,8,1,12,11,1,3,2.87234042553191,0,1,3,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"Daly","HOU",95,1,0,5,4.73684210526316,0.6,3,0,2,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0.947368421052632,1,0.947368421052632,0,0,0,1,0,0,0,26,37,0.702702702702703,24,35,0.685714285714286,12,15,0.8,0.428571428571429,0.459459459459459,0.243243243243243,0.297297297297297,7,17,0.411764705882353,9,9,1,10,11,0.909090909090909,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0.428571428571429,0.257142857142857,0.314285714285714,5,15,0.333333333333333,9,9,1,10,11,0.909090909090909,0.405405405405405,12,15,0.8,0.333333333333333,0.333333333333333,0.333333333333333,3,5,0.6,5,5,1,4,5,0.8,0,1,0.947368421052632,0.0285714285714286,0,0,1,0,0,0,0,NA,1,3,2.84210526315789,0.0810810810810811,0.0857142857142857,0.333333333333333,2,2,1.89473684210526,0.0540540540540541,1,0,0,NA,0,0,0,0,NA,0,0,0,0,0,7,2,5,0.285714285714286,2,2,9,9,5,4,0.555555555555556,1,1,1,16,5,4,3,1,3,2.84210526315789,0,2,1,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"Doniak","WNYF",83,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,16,22,0.727272727272727,16,22,0.727272727272727,14,18,0.777777777777778,0.818181818181818,0.409090909090909,0.227272727272727,0.363636363636364,4,9,0.444444444444444,4,5,0.8,8,8,1,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0.409090909090909,0.227272727272727,0.363636363636364,4,9,0.444444444444444,4,5,0.8,8,8,1,0.818181818181818,14,18,0.777777777777778,0.388888888888889,0.166666666666667,0.444444444444444,4,7,0.571428571428571,2,3,0.666666666666667,8,8,1,0,1,1.08433734939759,0.0454545454545455,0,1,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,0,1,1,0,1,4,2,6,3,1,2,0.333333333333333,0,1,0,38,2,10,5,5,2,2.16867469879518,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"Dunn","WAS",94,1,0,2,1.91489361702128,0.5,0,1,1,0,1,0.5,0,1,0,0,0,0,0,1,0,0,0,0.957446808510638,0,0,0,NA,0,0,0,0,0,14,22,0.636363636363636,14,22,0.636363636363636,11,17,0.647058823529412,0.772727272727273,0.454545454545455,0.0909090909090909,0.454545454545455,4,10,0.4,1,2,0.5,9,10,0.9,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0.454545454545455,0.0909090909090909,0.454545454545455,4,10,0.4,1,2,0.5,9,10,0.9,0.772727272727273,11,17,0.647058823529412,0.470588235294118,0.0588235294117647,0.470588235294118,4,8,0.5,0,1,0,7,8,0.875,0,0,0,0,NA,0,0,0,0,0,0,NA,3,4,3.82978723404255,0.181818181818182,0.181818181818182,0.75,0,0,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,0,7,5,2,0.714285714285714,4,5,11,2,2,0,1,2,1,3,53,3,5,4,1,1,0.957446808510638,0,1,1,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"Eddy","WNYF",94,1,0,1,0.957446808510638,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,43,57,0.754385964912281,24,34,0.705882352941177,16,23,0.695652173913043,0.676470588235294,0.543859649122807,0.228070175438596,0.228070175438596,19,31,0.612903225806452,11,13,0.846153846153846,13,13,1,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0.558823529411765,0.176470588235294,0.264705882352941,11,19,0.578947368421053,4,6,0.666666666666667,9,9,1,0.403508771929825,16,23,0.695652173913043,0.565217391304348,0.0869565217391304,0.347826086956522,7,13,0.538461538461538,1,2,0.5,8,8,1,5,6,5.74468085106383,0.176470588235294,0.833333333333333,6,0,0,1,0.957446808510638,0.0175438596491228,0,0,1,0.957446808510638,0.0175438596491228,0.0294117647058824,0,18,22,21.063829787234,0.385964912280702,0.818181818181818,1,1,1,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,3,3,2,2,0,1,1,3,1,20,2,12,9,3,5,4.78723404255319,0,5,1,1,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"Engen","BOS",99,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,18,28,0.642857142857143,16,23,0.695652173913043,10,12,0.833333333333333,0.521739130434783,0.75,0.214285714285714,0.0357142857142857,12,21,0.571428571428571,5,6,0.833333333333333,1,1,1,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0.695652173913043,0.260869565217391,0.0434782608695652,10,16,0.625,5,6,0.833333333333333,1,1,1,0.428571428571429,10,12,0.833333333333333,0.583333333333333,0.333333333333333,0.0833333333333333,5,7,0.714285714285714,4,4,1,1,1,1,0,0,0,0,NA,0,0,0,3,2.72727272727273,0.107142857142857,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,2,5,0.4,0,0,0,0,5,1,0,1,0,0,0,1,1,1,0,1,0,0,0,12,2,9,5,4,2,1.81818181818182,0,7,7,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
