"Player","Team","MP","GS","Goals","Shots","Shots.per.90","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","xG","Shot.Pressed","Pct.Shots.Pressed","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","Key.Assists","Second.Assists","Assists.per.90","Key.Passes.per.90","Big.Chances","Big.Chances.per.90","BC.Scored","BC.Conversion.Pct","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","opPPass.Comp","opPPass.Att","opPPass.Comp.Pct","Pct.opPass.Pressed","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","rFreq.A3.Passes","rFreq.M3.Passes","rFreq.D3.Passes","A3Pass.Comp","A3Pass.Att","A3Pass.Comp.Pct","M3Pass.Comp","M3Pass.Att","M3Pass.Comp.Pct","D3Pass.Comp","D3Pass.Att","D3Pass.Comp.Pct","rFreq.A3.opPasses","rFreq.M3.opPasses","rFreq.D3.opPasses","A3opPass.Comp","A3opPass.Att","A3opPass.Comp.Pct","M3opPass.Comp","M3opPass.Att","M3opPass.Comp.Pct","D3opPass.Comp","D3opPass.Att","D3opPass.Comp.Pct","Pass.Comp.D3toD3","Pass.Comp.D3toM3","Pass.Comp.D3toA3","Pass.Comp.M3toD3","Pass.Comp.M3toM3","Pass.Comp.M3toA3","Pass.Comp.A3toD3","Pass.Comp.A3toM3","Pass.Comp.A3toA3","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","Pct.Passes.Pressed","PPass.Comp","PPass.Att","PPass.Comp.Pct","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","Cross.Comp","Cross.Att","Cross.Att.per.90","Cross.Att.per.opPass","Cross.Comp.Pct","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Att","Launch.Att.per.90","Launch.Att.per.Pass","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Att.per.90","Through.Att.per.Pass","Through.Att.per.opPass","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Att.per.90","Throw.In.Att.per.Pass","Throw.In.Comp.Pct","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","Take.Ons","TO.Won","TO.Lost","TO.Win.Pct","Dispossessed","Lost.Touches","All.Possessions.Disrupted","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Tackles","Dispossesses","Dribbled","Press.Opp","Challenge.Opp","Recoveries","Def.Recoveries","Poss.Recoveries","Interceptions","Int.per.90","Int.per.OP.Pass","Blocks","Clearances","Ball.Shields","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls.Faced","HB.Won","HB.Lost","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses.Faced","Crosses.Won","Crosses.Lost","Corner.Kicks.Faced","CKs.Won","CKs.Lost","Free.Kicks.Faced","FKs.Won","FKs.Lost","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Erceg","WNYF",94,1,0,1,0.957446808510638,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.957446808510638,0,0,0,1,0,0,0,21,26,0.807692307692308,20,25,0.8,12,14,0.857142857142857,0.56,0.576923076923077,0.0769230769230769,0.346153846153846,10,15,0.666666666666667,2,2,1,9,9,1,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0.6,0.04,0.36,10,15,0.666666666666667,1,1,1,9,9,1,0.538461538461538,12,14,0.857142857142857,0.571428571428571,0,0.428571428571429,6,8,0.75,0,0,NA,6,6,1,0,0,0,0,NA,0,0,1,3,2.87234042553191,0.115384615384615,0.333333333333333,2,3,2.87234042553191,0.115384615384615,0.12,0.666666666666667,1,1,0.957446808510638,0.0384615384615385,1,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,1,0,1,2,1,1,0.5,0,1,2,11,1,6,4,2,2,1.91489361702128,0,5,7,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"Farquharson","WAS",18,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,4,4,1,4,4,1,4,4,1,1,0.5,0.25,0.25,2,2,1,1,1,1,1,1,1,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0.5,0.25,0.25,2,2,1,1,1,1,1,1,1,1,4,4,1,0.5,0.25,0.25,2,2,1,1,1,1,1,1,1,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,1,1,0,0,0,NA,0,0,1,9,0,1,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"Franch","PTFC",99,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,23,39,0.58974358974359,15,29,0.517241379310345,4,5,0.8,0.172413793103448,0.923076923076923,0.0769230769230769,0,20,36,0.555555555555556,3,3,1,0,0,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0.896551724137931,0.103448275862069,0,12,26,0.461538461538462,3,3,1,0,0,NA,0.128205128205128,4,5,0.8,0.8,0.2,0,3,4,0.75,1,1,1,0,0,NA,0,0,0,0,NA,0,0,9,16,14.5454545454545,0.41025641025641,0.5625,0,0,0,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,2,4,0.5,0,0,0,0,4,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,1,1,0,1,0.909090909090909,0,0,0,0,4,0,4,0,0,0,0,NA,4,4,0,3,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,23,39,0.58974358974359,4,4,1,2,2,1,3,15,0.2
"Hamilton","WNYF",18,0,0,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,9,9,1,9,9,1,8,8,1,0.888888888888889,0.777777777777778,0.111111111111111,0.111111111111111,7,7,1,1,1,1,1,1,1,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0.777777777777778,0.111111111111111,0.111111111111111,7,7,1,1,1,1,1,1,1,0.888888888888889,8,8,1,0.75,0.125,0.125,6,6,1,1,1,1,1,1,1,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,1,0,3,0,5,1,4,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"Hayes","SBFC",76,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,20,24,0.833333333333333,19,23,0.826086956521739,8,12,0.666666666666667,0.521739130434783,0.25,0.375,0.375,3,6,0.5,9,9,1,8,9,0.888888888888889,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0.260869565217391,0.391304347826087,0.347826086956522,3,6,0.5,9,9,1,7,8,0.875,0.5,8,12,0.666666666666667,0.25,0.333333333333333,0.416666666666667,0,3,0,4,4,1,4,5,0.8,0,0,0,0,NA,0,0,0,1,1.18421052631579,0.0416666666666667,0,0,0,0,0,0,NA,1,1,1.18421052631579,0.0416666666666667,1,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,1,1,2,2,2,0,1,1,1,1,21,3,6,5,1,0,0,0,1,1,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"Heap","HOU",46,1,0,1,1.95652173913043,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,10,18,0.555555555555556,10,18,0.555555555555556,5,6,0.833333333333333,0.333333333333333,0.5,0.166666666666667,0.333333333333333,2,9,0.222222222222222,2,3,0.666666666666667,6,6,1,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0.5,0.166666666666667,0.333333333333333,2,9,0.222222222222222,2,3,0.666666666666667,6,6,1,0.333333333333333,5,6,0.833333333333333,0.5,0,0.5,2,3,0.666666666666667,0,0,NA,3,3,1,0,1,1.95652173913043,0.0555555555555556,0,1,0,1,1,1.95652173913043,0.0555555555555556,1,0,3,5.8695652173913,0.166666666666667,0.166666666666667,0,0,0,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,0,1,1,0,1,0,1,1,2,1,1,0.5,0,0,2,16,3,6,3,3,0,0,0,1,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"Heath","PTFC",97,1,0,4,3.71134020618557,1,4,0,0,0,3,0.75,0,0,0,0,0,0,0,2,0,0,0,1.85567010309278,0,0,0,NA,0,0,0,0,0,31,40,0.775,28,36,0.777777777777778,25,30,0.833333333333333,0.833333333333333,0.4,0.375,0.225,13,16,0.8125,10,15,0.666666666666667,8,9,0.888888888888889,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0.388888888888889,0.388888888888889,0.222222222222222,11,14,0.785714285714286,10,14,0.714285714285714,7,8,0.875,0.75,25,30,0.833333333333333,0.366666666666667,0.433333333333333,0.2,9,11,0.818181818181818,10,13,0.769230769230769,6,6,1,2,5,4.63917525773196,0.138888888888889,0.4,4,1,1,1,0.927835051546392,0.025,1,3,5,4.63917525773196,0.125,0.138888888888889,0.6,0,0,0,0,NA,1,2,0.5,0,0,2,2,1,0,1,0,0,2,6,3,3,0.5,6,0,9,1,1,0,1,0,0,1,18,4,7,5,2,1,0.927835051546392,0,3,2,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"Hinkle","WNYF",94,1,0,3,2.87234042553191,0,0,0,3,0,1,0.333333333333333,0,0,1,0,0,0,0,0,0,0,0,0,1,0.957446808510638,0,0,0,1,0,0,0,23,37,0.621621621621622,12,22,0.545454545454545,9,14,0.642857142857143,0.636363636363636,0.567567567567568,0.297297297297297,0.135135135135135,13,21,0.619047619047619,5,11,0.454545454545455,5,5,1,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0.590909090909091,0.227272727272727,0.181818181818182,7,13,0.538461538461538,1,5,0.2,4,4,1,0.378378378378378,9,14,0.642857142857143,0.428571428571429,0.285714285714286,0.285714285714286,4,6,0.666666666666667,1,4,0.25,4,4,1,2,3,2.87234042553191,0.136363636363636,0.666666666666667,3,0,0,2,1.91489361702128,0.0540540540540541,0,0,1,0.957446808510638,0.027027027027027,0.0454545454545455,0,10,12,11.4893617021277,0.324324324324324,0.833333333333333,1,3,0.333333333333333,0,0,0,0,NA,0,0,0,0,0,4,4,0,1,4,3,7,4,1,3,0.25,0,1,0,16,5,15,6,9,2,1.91489361702128,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"Horan","PTFC",99,1,0,1,0.909090909090909,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.909090909090909,0,0,0,1,0,0,0,44,49,0.897959183673469,44,49,0.897959183673469,28,29,0.96551724137931,0.591836734693878,0.387755102040816,0.36734693877551,0.244897959183673,14,19,0.736842105263158,18,18,1,12,12,1,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0.387755102040816,0.36734693877551,0.244897959183673,14,19,0.736842105263158,18,18,1,12,12,1,0.591836734693878,28,29,0.96551724137931,0.275862068965517,0.482758620689655,0.241379310344828,7,8,0.875,14,14,1,7,7,1,1,1,0.909090909090909,0.0204081632653061,1,1,0,0,0,0,0,NA,1,2,1.81818181818182,0.0408163265306122,0.0408163265306122,0.5,0,0,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,0,1,1,0,1,4,1,5,14,8,6,0.571428571428571,1,1,1,19,6,13,5,8,1,0.909090909090909,0,2,3,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"Huster","WAS",94,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,21,26,0.807692307692308,21,26,0.807692307692308,12,16,0.75,0.615384615384615,0.846153846153846,0.0384615384615385,0.115384615384615,17,22,0.772727272727273,1,1,1,3,3,1,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0.846153846153846,0.0384615384615385,0.115384615384615,17,22,0.772727272727273,1,1,1,3,3,1,0.615384615384615,12,16,0.75,0.8125,0,0.1875,9,13,0.692307692307692,0,0,NA,3,3,1,0,0,0,0,NA,0,0,1,1,0.957446808510638,0.0384615384615385,1,0,0,0,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,1,1,1,1,0,1,0,0,1,44,1,11,9,2,3,2.87234042553191,0,3,4,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"Kai","SBFC",95,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,13,15,0.866666666666667,13,15,0.866666666666667,9,10,0.9,0.666666666666667,0.2,0.266666666666667,0.533333333333333,3,3,1,3,4,0.75,7,8,0.875,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0.2,0.266666666666667,0.533333333333333,3,3,1,3,4,0.75,7,8,0.875,0.666666666666667,9,10,0.9,0.1,0.1,0.8,1,1,1,1,1,1,7,8,0.875,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,3,5,8,16,9,7,0.5625,0,0,0,24,4,4,3,1,0,0,0,1,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"Kallman","BOS",99,1,0,1,0.909090909090909,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,19,21,0.904761904761905,16,16,1,6,6,1,0.375,0.476190476190476,0.19047619047619,0.333333333333333,8,10,0.8,4,4,1,7,7,1,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0.3125,0.25,0.4375,5,5,1,4,4,1,7,7,1,0.285714285714286,6,6,1,0.166666666666667,0.166666666666667,0.666666666666667,1,1,1,1,1,1,4,4,1,0,0,0,0,NA,0,0,1,3,2.72727272727273,0.142857142857143,0.333333333333333,0,0,0,0,0,NA,1,1,0.909090909090909,0.0476190476190476,1,0,0,NA,0,0,2,4,0.5,0,0,0,0,4,0,0,0,NA,0,0,0,9,3,6,0.333333333333333,0,0,0,13,4,7,5,2,1,0.909090909090909,0,3,8,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"Kennedy","WNYF",94,1,0,1,0.957446808510638,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,21,33,0.636363636363636,21,33,0.636363636363636,14,18,0.777777777777778,0.545454545454545,0.787878787878788,0.0909090909090909,0.121212121212121,14,26,0.538461538461538,3,3,1,4,4,1,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0.787878787878788,0.0909090909090909,0.121212121212121,14,26,0.538461538461538,3,3,1,4,4,1,0.545454545454545,14,18,0.777777777777778,0.666666666666667,0.111111111111111,0.222222222222222,8,12,0.666666666666667,2,2,1,4,4,1,0,0,0,0,NA,0,0,1,3,2.87234042553191,0.0909090909090909,0.333333333333333,0,3,2.87234042553191,0.0909090909090909,0.0909090909090909,0,0,0,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,0,1,0,1,0,2,2,5,7,6,1,0.857142857142857,1,2,2,45,2,16,8,8,3,2.87234042553191,0,2,1,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"Killion","SBFC",95,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,43,47,0.914893617021277,41,45,0.911111111111111,20,21,0.952380952380952,0.466666666666667,0.617021276595745,0.106382978723404,0.276595744680851,25,29,0.862068965517241,5,5,1,13,13,1,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0.6,0.111111111111111,0.288888888888889,23,27,0.851851851851852,5,5,1,13,13,1,0.446808510638298,20,21,0.952380952380952,0.523809523809524,0.0952380952380952,0.380952380952381,10,11,0.909090909090909,2,2,1,8,8,1,0,0,0,0,NA,0,0,1,2,1.89473684210526,0.0425531914893617,0.5,1,2,1.89473684210526,0.0425531914893617,0.0444444444444444,0.5,0,0,0,0,NA,0,0,NA,0,0,2,2,1,0,0,0,0,2,0,0,0,NA,1,1,2,4,0,4,0,4,0,7,17,8,12,9,3,4,3.78947368421053,0,6,1,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"King","BOS",99,1,0,1,0.909090909090909,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,19,27,0.703703703703704,9,17,0.529411764705882,6,12,0.5,0.705882352941177,0.555555555555556,0.296296296296296,0.148148148148148,10,15,0.666666666666667,5,8,0.625,4,4,1,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0.470588235294118,0.411764705882353,0.117647058823529,3,8,0.375,4,7,0.571428571428571,2,2,1,0.444444444444444,6,12,0.5,0.5,0.333333333333333,0.166666666666667,2,6,0.333333333333333,2,4,0.5,2,2,1,0,3,2.72727272727273,0.176470588235294,0,3,0,0,0,0,0,NA,0,1,0.909090909090909,0.037037037037037,0.0588235294117647,0,10,10,9.09090909090909,0.37037037037037,1,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,1,0,1,2,1,1,0.5,8,1,3,28,3,6,4,2,2,1.81818181818182,0,4,7,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"Kleiner","WAS",94,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,26,34,0.764705882352941,20,26,0.769230769230769,18,22,0.818181818181818,0.846153846153846,0.676470588235294,0.205882352941176,0.117647058823529,16,23,0.695652173913043,6,7,0.857142857142857,4,4,1,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0.615384615384615,0.230769230769231,0.153846153846154,11,16,0.6875,5,6,0.833333333333333,4,4,1,0.647058823529412,18,22,0.818181818181818,0.590909090909091,0.227272727272727,0.181818181818182,10,13,0.769230769230769,4,5,0.8,4,4,1,1,2,1.91489361702128,0.0769230769230769,0.5,2,0,0,0,0,0,NA,1,1,0.957446808510638,0.0294117647058824,0.0384615384615385,1,6,8,7.65957446808511,0.235294117647059,0.75,0,0,NA,0,0,0,0,NA,0,0,0,0,0,1,1,0,1,1,1,2,2,1,1,0.5,2,3,2,32,2,6,5,1,6,5.74468085106383,0,3,7,1,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"Klingenberg","PTFC",99,1,0,1,0.909090909090909,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0.909090909090909,0,0,0,NA,0,0,0,0,0,48,61,0.786885245901639,37,49,0.755102040816326,24,30,0.8,0.612244897959184,0.442622950819672,0.426229508196721,0.131147540983607,19,27,0.703703703703704,21,26,0.807692307692308,8,8,1,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0.489795918367347,0.408163265306122,0.102040816326531,16,24,0.666666666666667,16,20,0.8,5,5,1,0.491803278688525,24,30,0.8,0.466666666666667,0.433333333333333,0.1,9,14,0.642857142857143,12,13,0.923076923076923,3,3,1,1,6,5.45454545454546,0.122448979591837,0.166666666666667,4,2,1,1,0.909090909090909,0.0163934426229508,1,1,4,3.63636363636364,0.0655737704918033,0.0816326530612245,0.25,11,12,10.9090909090909,0.19672131147541,0.916666666666667,0,0,NA,0,0,0,0,NA,0,0,0,0,0,3,1,2,0.333333333333333,1,2,5,1,1,0,1,0,0,1,6,5,15,8,7,3,2.72727272727273,0,2,1,2,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"Krieger","WAS",94,1,0,2,1.91489361702128,0,0,0,2,0,1,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,39,53,0.735849056603774,31,41,0.75609756097561,20,26,0.769230769230769,0.634146341463415,0.660377358490566,0.0943396226415094,0.245283018867925,22,35,0.628571428571429,4,5,0.8,13,13,1,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0.609756097560976,0.0731707317073171,0.317073170731707,16,25,0.64,2,3,0.666666666666667,13,13,1,0.490566037735849,20,26,0.769230769230769,0.538461538461538,0.0384615384615385,0.423076923076923,9,14,0.642857142857143,0,1,0,11,11,1,0,0,0,0,NA,0,0,1,4,3.82978723404255,0.0754716981132075,0.25,1,1,0.957446808510638,0.0188679245283019,0.024390243902439,1,8,11,10.531914893617,0.207547169811321,0.727272727272727,0,0,NA,0,0,0,1,0,0,0,0,0,1,2,2,0,1,0,1,1,2,2,0,1,1,2,1,15,3,8,7,1,5,4.78723404255319,0,3,4,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"L. Williams","WNYF",94,1,0,5,4.78723404255319,0.4,1,1,3,0,3,0.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0.957446808510638,0,0,1,0,0,0,0,23,26,0.884615384615385,22,25,0.88,16,18,0.888888888888889,0.72,0.346153846153846,0.269230769230769,0.384615384615385,8,9,0.888888888888889,7,7,1,8,10,0.8,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0.32,0.28,0.4,7,8,0.875,7,7,1,8,10,0.8,0.692307692307692,16,18,0.888888888888889,0.222222222222222,0.277777777777778,0.5,4,4,1,5,5,1,7,9,0.777777777777778,1,1,0.957446808510638,0.04,1,1,0,0,0,0,0,NA,0,0,0,0,0,NA,1,1,0.957446808510638,0.0384615384615385,1,0,0,NA,0,0,0,0,NA,0,0,0,0,0,1,0,1,0,0,3,4,0,0,0,NA,1,2,1,33,3,10,4,6,1,0.957446808510638,0,1,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"Labbe","WAS",94,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,15,46,0.326086956521739,12,39,0.307692307692308,3,9,0.333333333333333,0.230769230769231,1,0,0,15,46,0.326086956521739,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,12,39,0.307692307692308,0,0,NA,0,0,NA,0.217391304347826,4,10,0.4,1,0,0,4,10,0.4,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,5,19,18.1914893617021,0.41304347826087,0.263157894736842,0,0,0,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,0,3,0,0,0,0,0,3,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,2,2,0,0,2,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,15,46,0.326086956521739,2,2,1,1,2,0.5,2,21,0.0952380952380952
"Leon","WNYF",49,0,0,1,1.83673469387755,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,11,14,0.785714285714286,11,14,0.785714285714286,11,14,0.785714285714286,1,0.785714285714286,0,0.214285714285714,8,11,0.727272727272727,0,0,NA,3,3,1,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0.785714285714286,0,0.214285714285714,8,11,0.727272727272727,0,0,NA,3,3,1,1,11,14,0.785714285714286,0.785714285714286,0,0.214285714285714,8,11,0.727272727272727,0,0,NA,3,3,1,1,1,1.83673469387755,0.0714285714285714,1,1,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,3,0,3,1,0,1,0,0,0,0,22,0,8,4,4,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
