"Player","Team","MP","GS","Goals","Shots","Shots.per.90","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","Shot.Pressd","Pct.Shots.Pressd","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","KP.to.Goal","Key.Assists","Second.Assists","Unscored.Key.Passes","KP.Goal","Assists.per.90","Key.Passes.per.90","Assists.per.Pass","Key.Passes.per.Pass","Big.Chances","Big.Chances.per.90","BC.Scored","BC.to.Goal","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","opPPass.Comp","opPPass.Att","opPPass.Comp.Pct","Pct.opPass.Pressd","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","Pct.Pass.Pressd","PPass.Comp","PPass.Att","PPass.Comp.Pct","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","Cross.Comp","Cross.Att","Cross.Att.per.90","Cross.Att.per.Pass","Cross.Att.per.opPass","Cross.Comp.Pct","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Att","Launch.Att.per.90","Launch.Att.per.Pass","Launch.Att.per.opPass","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Att.per.90","Through.Att.per.Pass","Through.Att.per.opPass","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Att.per.90","Throw.In.Att.per.Pass","Throw.In.Comp.Pct","Corner.Kicks.Completed","CK.Effectiveness","Corner.Kicks.Taken","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Comp.Pct","FK.Pass.Att","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Win.Pct","Take.Ons","TO.Lost","Dispossessed","Lost.Touches","AD.Won","AD.Win.Pct","Aerial.Duels","AD.Lost","Tackles","Dispossesses","Dribbled","Press.Opp","Challenge.Opp","Recoveries","Def.Recoveries","Poss.Recoveries","Interceptions","Blocks","Clearances","Balls.Shields","Saves","Goals.Allowed","SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls","HB.Won","HB.Lost","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses","Crosses.Won","Crosses.Lost","Corner.Kicks","CKs.Won","CKs.Lost","Free.Kicks","FKs.Won","FKs.Lost","Smothers.Won","Smothers.Lost","All.Pass.Comp","Distribution.Success","All.Pass.Att","Throw.Comp","Throw.Comp.Pct","Throw.Att","Drop.Kick.Comp","Drop.Kick.Comp.Pct","Drop.Kick.Att","GK.FK.Comp","GK.FK.Comp.Pct","GK.FK.Att","Int.per.90"
"Brian","USA",680,7,0,2,0.264705882352941,0,0,0,2,1,0.5,0,0,0,2,0,0,3,3,0.666666666666667,2,0,1,2,0.397058823529412,0.397058823529412,0,0,0,0,0,NA,0,0,0,1,0,426,503,0.846918489065606,403,451,0.893569844789357,180,202,0.891089108910891,0.447893569844789,0.445328031809145,0.278330019880716,0.276341948310139,184,224,0.821428571428571,110,140,0.785714285714286,132,139,0.949640287769784,0.476718403547672,0.228381374722838,0.29490022172949,182,215,0.846511627906977,94,103,0.912621359223301,127,133,0.954887218045113,0.403578528827038,180,203,0.886699507389163,0.428571428571429,0.226600985221675,0.344827586206897,75,87,0.862068965517241,41,46,0.891304347826087,64,70,0.914285714285714,6,12,1.58823529411765,0.0238568588469185,0.0266075388026608,0.5,10,2,11,24,3.17647058823529,0.047713717693837,0.0532150776053215,0.458333333333333,8,10,1.32352941176471,0.0198807157057654,0.0221729490022173,0.8,0,0,0,0,NA,17,0.435897435897436,39,1,0,6,0.461538461538462,13,0,0,2,0,15,20,0.869565217391304,23,3,10,10,24,0.6,40,16,11,0,6,145,48,79,48,29,23,20,9,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,3.04411764705882
"Dunn","USA",388,5,7,13,3.01546391752577,0.769230769230769,2,1,3,6,0.461538461538462,2,6,0,4,0,0,1,0,NA,0,0,0,0,0.231958762886598,0,0,0,2,0.463917525773196,2,1,0,0,0,0,0,87,125,0.696,85,123,0.691056910569106,61,78,0.782051282051282,0.634146341463415,0.48,0.216,0.304,34,60,0.566666666666667,17,27,0.62962962962963,36,38,0.947368421052632,0.48780487804878,0.219512195121951,0.292682926829268,34,60,0.566666666666667,17,27,0.62962962962963,34,36,0.944444444444444,0.624,61,78,0.782051282051282,0.487179487179487,0.192307692307692,0.320512820512821,25,38,0.657894736842105,12,15,0.8,24,25,0.96,3,11,2.55154639175258,0.088,0.0894308943089431,0.272727272727273,11,0,2,3,0.695876288659794,0.024,0.024390243902439,0.666666666666667,4,9,2.08762886597938,0.072,0.0731707317073171,0.444444444444444,1,1,0.231958762886598,0.008,1,0,NA,0,0,0,1,1,1,0,0,0,0,1,31,0.688888888888889,45,14,9,9,12,0.6,20,8,4,0,10,91,30,39,26,13,9,11,3,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,2.08762886597938
"Engen","USA",195,2,0,2,0.923076923076923,0,0,0,2,2,1,2,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,64,72,0.888888888888889,62,70,0.885714285714286,19,24,0.791666666666667,0.342857142857143,0.638888888888889,0.208333333333333,0.152777777777778,38,46,0.826086956521739,15,15,1,11,11,1,0.628571428571429,0.214285714285714,0.157142857142857,36,44,0.818181818181818,15,15,1,11,11,1,0.333333333333333,19,24,0.791666666666667,0.875,0.0416666666666667,0.0833333333333333,16,21,0.761904761904762,1,1,1,2,2,1,0,0,0,0,0,NA,0,0,5,7,3.23076923076923,0.0972222222222222,0.1,0.714285714285714,1,1,0.461538461538462,0.0138888888888889,0.0142857142857143,1,0,0,0,0,NA,0,NA,0,0,0,2,1,2,0,0,0,0,2,0,0,1,1,0,1,3,0.3,10,7,3,0,0,9,7,13,9,4,2,4,9,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0.923076923076923
"Heath","USA",646,7,2,9,1.25386996904025,0.333333333333333,0,1,6,5,0.555555555555556,0,7,2,0,0,0,1,0,NA,0,0,0,0,0.139318885448916,0,0,0,4,0.557275541795666,1,0.25,1,2,0,0,0,256,306,0.836601307189543,242,288,0.840277777777778,139,166,0.837349397590361,0.576388888888889,0.359477124183007,0.251633986928105,0.388888888888889,82,110,0.745454545454545,61,77,0.792207792207792,113,119,0.949579831932773,0.371527777777778,0.232638888888889,0.395833333333333,79,107,0.738317757009346,55,67,0.82089552238806,108,114,0.947368421052632,0.542483660130719,139,166,0.837349397590361,0.343373493975904,0.228915662650602,0.427710843373494,40,57,0.701754385964912,32,38,0.842105263157895,67,71,0.943661971830986,6,18,2.5077399380805,0.0588235294117647,0.0625,0.333333333333333,17,1,4,7,0.975232198142415,0.0228758169934641,0.0243055555555556,0.571428571428571,12,15,2.08978328173375,0.0490196078431373,0.0520833333333333,0.8,2,2,0.278637770897833,0.0065359477124183,1,7,0.7,10,0,0,5,0.833333333333333,6,0,0,0,0,6,23,0.534883720930233,43,20,11,8,11,0.333333333333333,33,22,10,1,11,84,32,43,24,19,14,25,5,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,1.95046439628483
"Hinkle","USA",181,1,0,1,0.497237569060773,1,1,0,0,1,1,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,96,108,0.888888888888889,96,108,0.888888888888889,30,35,0.857142857142857,0.324074074074074,0.453703703703704,0.222222222222222,0.324074074074074,40,49,0.816326530612245,21,24,0.875,35,35,1,0.453703703703704,0.222222222222222,0.324074074074074,40,49,0.816326530612245,21,24,0.875,35,35,1,0.324074074074074,30,35,0.857142857142857,0.485714285714286,0.228571428571429,0.285714285714286,14,17,0.823529411764706,6,8,0.75,10,10,1,4,6,2.98342541436464,0.0555555555555556,0.0555555555555556,0.666666666666667,5,1,3,6,2.98342541436464,0.0555555555555556,0.0555555555555556,0.5,16,16,7.95580110497237,0.148148148148148,0.148148148148148,1,0,0,0,0,NA,0,NA,0,0,0,0,NA,0,0,0,0,0,0,4,0.8,5,1,2,3,1,0.333333333333333,3,2,3,0,2,7,9,15,12,3,4,7,2,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,1.98895027624309
"Horan","USA",565,7,1,9,1.43362831858407,0.222222222222222,1,0,7,4,0.444444444444444,0,6,0,3,0,0,1,2,1,1,1,0,2,0.15929203539823,0.31858407079646,0,0,0,0,0,NA,0,0,0,0,0,312,368,0.847826086956522,303,358,0.846368715083799,150,170,0.882352941176471,0.474860335195531,0.519021739130435,0.252717391304348,0.228260869565217,145,191,0.759162303664921,88,93,0.946236559139785,79,84,0.94047619047619,0.533519553072626,0.240223463687151,0.226256983240223,145,191,0.759162303664921,82,86,0.953488372093023,76,81,0.938271604938272,0.46195652173913,150,170,0.882352941176471,0.458823529411765,0.241176470588235,0.3,65,78,0.833333333333333,38,41,0.926829268292683,47,51,0.92156862745098,5,7,1.11504424778761,0.0190217391304348,0.0195530726256983,0.714285714285714,7,0,11,25,3.98230088495575,0.0679347826086956,0.0698324022346369,0.44,4,6,0.95575221238938,0.016304347826087,0.0167597765363128,0.666666666666667,0,0,0,0,NA,3,0.75,4,0,0,6,1,6,0,0,0,0,6,23,0.71875,32,9,16,10,39,0.582089552238806,67,28,13,3,10,101,27,57,29,28,16,22,7,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,2.54867256637168
"Johnston","USA",469,5,0,1,0.191897654584222,1,1,0,0,0,0,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,230,264,0.871212121212121,229,261,0.877394636015326,36,44,0.818181818181818,0.168582375478927,0.628787878787879,0.291666666666667,0.0795454545454545,133,166,0.801204819277108,76,77,0.987012987012987,21,21,1,0.628352490421456,0.291187739463602,0.0804597701149425,133,164,0.810975609756098,75,76,0.986842105263158,21,21,1,0.166666666666667,36,44,0.818181818181818,0.636363636363636,0.204545454545455,0.159090909090909,20,28,0.714285714285714,9,9,1,7,7,1,1,1,0.191897654584222,0.00378787878787879,0.00383141762452107,1,1,0,4,23,4.4136460554371,0.0871212121212121,0.0881226053639847,0.173913043478261,1,2,0.383795309168444,0.00757575757575758,0.00766283524904215,0.5,0,1,0.191897654584222,0.00378787878787879,0,0,NA,0,0,0,1,0.5,2,0,0,0,0,2,11,1,11,0,1,5,5,0.357142857142857,14,9,4,0,2,23,3,39,25,11,7,7,15,2,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,1.34328358208955
"Klingenberg","USA",773,8,0,2,0.232858990944373,0.5,1,0,1,1,0.5,0,1,0,0,0,0,3,4,0.5,2,0,2,2,0.349288486416559,0.465717981888745,0,0,0,0,0,NA,0,0,0,0,0,357,439,0.813211845102506,296,357,0.829131652661064,120,148,0.810810810810811,0.414565826330532,0.5125284738041,0.191343963553531,0.296127562642369,157,225,0.697777777777778,73,84,0.869047619047619,127,130,0.976923076923077,0.49859943977591,0.184873949579832,0.316526610644258,129,178,0.724719101123595,57,66,0.863636363636364,110,113,0.973451327433628,0.337129840546697,120,148,0.810810810810811,0.493243243243243,0.175675675675676,0.331081081081081,49,73,0.671232876712329,24,26,0.923076923076923,47,49,0.959183673469388,11,19,2.21216041397154,0.0432801822323462,0.0532212885154062,0.578947368421053,17,2,10,21,2.44501940491591,0.0478359908883827,0.0588235294117647,0.476190476190476,20,30,3.49288486416559,0.0683371298405467,0.0840336134453782,0.666666666666667,56,73,8.4993531694696,0.16628701594533,0.767123287671233,1,1,1,0,0,4,0.5,8,0,0,0,0,8,19,0.655172413793103,29,10,7,6,11,0.392857142857143,28,17,6,0,4,67,22,62,44,17,24,28,8,3,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,2.79430789133247
