Last.Name,First.Name,Team,Number,Primary.Position,Secondary.Position,Tertiary.Position,Position.Type
Beckmann,Eunice,BOS,99,F,,,
Dowie,Natasha,BOS,9,F,,,
Elby,Brooke,BOS,23,D,,,FB
Engen,Whitney,BOS,4,D,,,CB
Kallman,Kassey,BOS,5,D,,,CB
Karchouni,Ghoutia,BOS,29,M,,,
King,Julie,BOS,8,D,,,FB/CB
Kranich,Jami,BOS,2,GK,,,
Krieghoff,Elise,BOS,3,D,,,
Marlborough,Morgan,BOS,15,F,,,
McCaffrey,Stephanie,BOS,9,F,,,
Mewis,Kristie,BOS,19,M,,,
Pathman,Mollie,BOS,20,D,,,FB
Ratcliffe,Brittany,BOS,11,F,,,
Salem,Angela,BOS,26,M,,,
Schillgard,Louise,BOS,10,M,,,
Schoepfer,Katie,BOS,88,F,,,
Simon,Kyah,BOS,17,F,,,
Smith,Abby,BOS,14,GK,,,
Stout,Libby,BOS,1,GK,,,
Strom,Kylie,BOS,30,D,,,
Verdoia,Stephanie,BOS,22,M,,,
Westphal,Christen,BOS,21,D,,,
Wood,Rachel,BOS,24,D,,,
Zerboni,McCall,BOS,77,M,,,DM
Colaprico,Danielle,CRS,24,M,,,DM
Comeau,Taylor,CRS,7,M,,,
Da Costa,Amanda,CRS,13,M,,,
Dalton,Michele,CRS,18,GK,,,
DiBernardo,Vanessa,CRS,10,M,,,
Flaws,Jannelle,CRS,20,F,,,
Gilliland,Arin,CRS,3,D,,,FB
Gorden,Sarah,CRS,14,D,,,
Hoy,Jen,CRS,2,F,,,
Huerta,Sofia,CRS,11,F,,,
Johnson,Samantha,CRS,16,D,,,
Johnston,Julie,CRS,8,D,,,CB
Luba,Mary,CRS,34,M,,,
Mautz,Alyssa,CRS,4,M,,,W
McCaffrey,Stephanie,CRS,9,F,,,
Naeher,Alyssa,CRS,1,GK,,,
Naughton,Katie,CRS,5,D,,,
Press,Christen,CRS,23,F,,,
Raetzman,Courtney,CRS,15,M,,,
Short,Casey,CRS,6,D,,,FB
Walls,Cara,CRS,12,F,,,
Arlitt,Alex,FCKC,5,D,,,
Averbuch,Yael,FCKC,10,D,,,
Barnhart,Nicole,FCKC,18,GK,,,
Bowen,Katie,FCKC,21,D,,,
Buczkowski,Jen,FCKC,6,M,,,DM
Frisbie,Amanda,FCKC,17,D,,,
Groom,Shea,FCKC,2,F,,,
Kastor,Caroline,FCKC,23,F,,,
LaBonta,Lo'eau,FCKC,1,M,,,
Laddish,Mandy,FCKC,7,M,,,
McCarty,Tiffany,FCKC,20,F,,,
Menchel,Molly,FCKC,24,M,,,
Newfield,Alexa,FCKC,88,M,,,
O'Reilly,Heather,FCKC,9,M,,,W
Sauerbrunn,Becky,FCKC,4,D,,,CB
Scott,Desiree,FCKC,3,D,,,
Silva,Frances,FCKC,11,F,,,
Taylor,Brittany,FCKC,13,D,,,
Tymrak,Erika,FCKC,15,M,,,
Weimer,Tiffany,FCKC,16,F,,,
Andressa,,HOU,2,M,,,
Beckie,Janine,HOU,11,F,,,
Brian,Morgan,HOU,6,M,,,
Brooks,Amber,HOU,12,M,,,
Brush,Ellie,HOU,8,D,,,
Chapman,Allysha,HOU,15,D,,,FB
Crosson,Megan,HOU,25,M,,,
Daly,Rachel,HOU,3,F,,,
Florio,Tessa,HOU,19,M,,,
Heap,Caity,HOU,27,M,,,
Henderson,Melissa,HOU,21,F,,,
Henninger,Bianca,HOU,1,GK,,,
Lloyd,Carli,HOU,10,M,,,
Moros,Becca,HOU,4,D,,,
O'Sullivan,Denise,HOU,13,F,,,
Ochs,Stephanie,HOU,22,D,,,
Ohai,Kealia,HOU,7,F,,,W
Poliana,,HOU,2,D,,,FB
Privett,Cami,HOU,23,M,,,
Roccaro,Cari,HOU,5,D,,,
Ubogagu,Chioma,HOU,9,F,,,
Williams,Lydia,HOU,18,GK,,,
Alleway,Laura,ORL,5,D,,,CB
Belanger,Josee,ORL,9,D,,,FB
Bledsoe,Aubrey,ORL,19,GK,,,
Burkenroad,Christina,ORL,11,F,,,
Catley,Steph,ORL,7,D,,,FB
De Vanna,Lisa,ORL,10,F,,,
Edmonds,Kristen,ORL,12,M,,,
Edwards,Becky,ORL,14,M,,,
Evans,Maddy,ORL,18,M,,,
Fields,Jamia,ORL,4,F,,,
Fortune,Leah,ORL,16,M,,,
Hagen,Sarah,ORL,8,F,,,
Harris,Ashlyn ,ORL,1,GK,,,
Hickmann Alves,Monica,ORL,21,D,,,CB
Kyle,Kaylyn,ORL,6,M,D,,DM/CB
Levin,Camille,ORL,2,D,,,
Morgan,Alex,ORL,13,F,,,
Pressley,Toni,ORL,3,D,,,
Sanderson,Lianne,ORL,10,F,,,
Savage,Kaitlyn,ORL,25,GK,,,
Spencer,Jasmyne,ORL,23,F,,,
Weatherholt,Dani,ORL,17,M,,,
Witteman,Samantha,ORL,26,M,,,
Berryhill,McKenzie,PTFC,20,D,,,
Betos,Michelle,PTFC,18,GK,,,
Brynjarsdottir,Dagny,PTFC,11,M,F,,
Boureille,Celeste,PTFC,30,M,,,
Fitzgerald,Maureen,PTFC,27,M,,,
Franch,Adrianna,PTFC,24,GK,,,
Heath,Tobin,PTFC,17,M,,,
Henry,Amandine,PTFC,28,M,,,
Horan,Lindsey,PTFC,7,M,,,
Klingenberg,Meghan,PTFC,25,D,,,FB
Lofton,Sam,PTFC,32,D,,,
Long,Allie,PTFC,10,M,,,
Menges,Emily,PTFC,4,D,,,
Morris,Meg,PTFC,44,D,,,
Nadim,Nadia,PTFC,9,F,,,
Pratt,Shade,PTFC,29,D,,,
Raso,Hayley,PTFC,21,F,,,
Reynolds,Katherine,PTFC,2,D,,,FB
Shim,Mana,PTFC,6,M,,,
Sinclair,Christine,PTFC,12,F,,,
Skogerboe,Jennifer,PTFC,22,D,,,
Sonnett,Emily,PTFC,16,D,,,CB
Weber,Mallory,PTFC,26,F,,,
Williamson,Kat,PTFC,5,D,,,
Casey,Caroline,SBFC,27,GK,,,
Conheeney,Kelly,SBFC,24,M,,,
DeCesare,Kim,SBFC,12,F,,,
Galton,Leah,SBFC,21,F,,,
Gordon,Shawna,SBFC,2,M,,,
Grubka,Kristin,SBFC,13,D,,,
Hayes,Maya,SBFC,5,F,,,
Kai,Tasha,SBFC,32,F,,,
Kerr,Samantha,SBFC,20,F,,,
Killion,Sarah,SBFC,16,M,,,DM
Lytle,Taylor,SBFC,6,M,,,
Nick,Ashley,SBFC,10,M,,,
O'Hara,Kelley,SBFC,19,D,,,FB
Rampone,Christie,SBFC,3,D,,,
Richardson,Domi,SBFC,26,D,,,
Rodriguez,Raquel,SBFC,11,M,,,
Schulmann,Danielle,SBFC,88,F,,,
Simon,Erin,SBFC,33,D,,,
Skroski,Erica,SBFC,8,D,,,
Stanley,Caroline,SBFC,18,GK,,,
Stanton,Nikki,SBFC,7,M,,,
Zimmerman,Catherine,SBFC,29,F,,,
Barnes,Lauren,SRFC,3,D,,,
Corsie,Rachel,SRFC,4,D,,,
Cruz,Michelle,SRFC,21,D,,,
Dallstream,Kiersten,SRFC,25,F,,,
Elston,Lindsay,SRFC,6,M,,,
Fishlock,Jessica,SRFC,10,M,,,
Fletcher,Kendall,SRFC,13,D,,,
Kawasumi,Nahomi,SRFC,36,F,,,
Kopmeyer,Haley,SRFC,28,GK,,,
Little,Kim,SRFC,8,M,,,
Mathias,Merritt,SRFC,9,F,,,
Melis,Manon,SRFC,14,F,,,
Nielsen,Paige,SRFC,12,D,,,
Pickett,Carson,SRFC,16,D,,,FB
Rapinoe,Megan,SRFC,15,F,,,W
Reed,Elli,SRFC,7,D,,,FB
Solaun,Havana,SRFC,19,M,,,
Solo,Hope,SRFC,1,GK,,,
Tostanoski,Andi,SRFC,24,GK,,,
Utsugi,Rumi,SRFC,20,M,,,
Winters,Keelin,SRFC,11,M,,,DM
Yanez,Beverly,SRFC,17,F,,,
Banini,Estefania,WAS,10,M,,,
Church,Whitney,WAS,5,D,,,
Dunn,Crystal,WAS,19,F,,,
Dydasco,Caprice,WAS,3,D,,,CB
Farquharson,Cali,WAS,17,F,,,
Huster,Tori,WAS,23,M,,,
Jensen,Line,WAS,27,D,,,
Johnson,Estelle,WAS,24,D,,,
Kleiner,Alyssa,WAS,22,D,,,FB
Krieger,Ali,WAS,11,D,,,FB
Labbe,Stephanie,WAS,1,GK,,,
Lohman,Joanna,WAS,15,M,,,
Matheson,Diana,WAS,8,M,,,
Nairn,Christine,WAS,7,M,,,
Ordega,Francisca,WAS,14,F,,,
Oyster,Megan,WAS,4,D,,,CB
Stengel,Katie,WAS,12,F,,,
Williams,Cheyna,WAS,20,F,,,
Wys,Kelsey,WAS,18,GK,,,
Zadorsky,Shelina,WAS,6,D,,,
Andrade,Lady,WNYF,16,M/F,,,
Ayinde,Halimatu,WNYF,10,M,,,
Cayman,Janice,WNYF,20,M,,,
D'Angelo,Sabrina,WNYF,1,GK,,,
Dahlkemper,Abby,WNYF,13,M,,,CB
Doniak,Makenzy,WNYF,3,F,,,
Eckerstrom,Britt,WNYF,28,GK,,,
Eddy,Elizabeth,WNYF,4,M,,,
Erceg,Abby,WNYF,6,D,,,
Hahn,Michaela,WNYF,2,M,,,
Hamilton,Kristen,WNYF,17,F,,,
Hinkle,Jaelene,WNYF,15,D,,,FB
Jeon,Ga Eul,WNYF,7,M,,,
Kennedy,Alanna,WNYF,8,D,,,
Leon,Adriana,WNYF,19,F,,,
McDonald,Jessica,WNYF,14,F,,,
Mewis,Samantha,WNYF,5,M,,,
Niemiec,Courtney,WNYF,23,D,,,
Rowland,Katelyn,WNYF,0,GK,,,
Sanderson,Lianne,WNYF,10,F,,,
Smith,Taylor,WNYF,11,F,,,
Speck,Meredith,WNYF,25,M,,,
Williams,Lynn,WNYF,9,F,,,
Zerboni,McCall,WNYF,99,M,,,DM